route_id,stop_lat,stop_id,stop_long,stop_desc,stop_name,stop_seq,location_type
04,33.44333168990062,{40507DF5-E990-4316-B3A4-9B62EF0B028F},-82.00154513194266,Residential - Church,3rd Ave - House of God Church,38,0
04,33.44232497049387,{EF97C4C3-ED7E-4EB4-802F-A07A92C4613F},-81.99974707140592,Dogwood Terrace Public Housing - Residential,3rd Ave - Leonard Ave,39,0
04,33.44148179071605,{9CE24A21-3616-42E6-BAA1-7E7D6067D29A},-81.998246253837,Dogwood Terrace Public Housing - Residential,3rd Ave - Bolt Ave,40,0
04,33.44073742542883,{0DD31D48-ABAE-4F6E-AFF7-5A668AA26257},-81.99692518298133,Dogwood Terrace Public Housing - Residential - Commercial,3rd Ave - Old Savannah Rd,41,0
04,33.43886396596153,{E232FF89-78A6-4612-BBDB-8DE9693F2D3C},-82.00067904673971,Commercial - Restaurant,Gordon Hwy - Harvest Table Restaurant,42,0
04,33.43932849202037,{39CFC2DA-9589-4965-BACE-3D378AEACE5E},-82.01786665681473,Pharmacy - Shopping,Gordon Hwy - CVS Pharmacy,45,0
04,33.44047944968394,{BBC62162-480E-45F7-B54B-E247A9EFAE2B},-81.9969129452831,Convenience Store - Dogwood Terrace Public Housing - Residential,Old Savannah Rd -,3,0
04,33.44177576811475,{7E32600F-4036-43DA-868F-173409A86ED8},-81.99565361734496,Dogwood Terrace Public Housing - Residential,Old Savannah Rd - 1st  Ave,4,0
04,33.4433722717034,{0A630BA0-D3F9-476D-91AF-D0947F622672},-81.99652569108804,Boys and Girls Club - Dogwood Terrace Public Housing - Residential,15th Ave - Bolt Ave,5,0
04,33.44522462273913,{C0D0B0A6-9150-4CE2-BCEF-7281B29DA26B},-81.99799358245055,Jenkins White Elementary School,15th Ave - Boykin Pl,6,0
04,33.4471370860656,{97EB62C5-3ADC-4F4A-A7CB-106C7615B0A0},-81.99883877203047,Residential,Grand Ave - 14th Ave,7,0
04,33.44825248012782,{3F6BBE50-F27E-42D6-AEC4-06B06189C5C7},-81.99660936783134,Residential,Grand Ave - 12th Ave,8,0
04,33.44874364872417,{003EC540-979E-4813-9BCD-0BCDC5295CFE},-81.99561563159763,Carrie J Mays Park - Gym - Recreation,Grand Ave - 11th Ave,9,0
04,33.44966274490643,{2BDD59F4-E35E-4C34-B169-54A75E0EDC07},-81.99375951130413,Residential,Grand Ave - 9th Ave,10,0
04,33.45211776091084,{CBD753A7-014E-4EA9-876F-3EE80C0A3850},-81.99533566456428,First Mt Moriah Baptist Church,MLK Blvd - 9th Ave,11,0
04,33.45274012032629,{64AC4A83-E31E-4DF6-BB80-97F96FBA82C2},-81.9933782964753,Residential,MLK Blvd - 7th Ave,12,0
04,33.45336493338229,{F49BFDC5-78BD-4D6A-9DF5-80DA5A94843E},-81.99156618193275,Residential,MLK Blvd - Turpin St,13,0
04,33.45376140236771,{8A03FB30-E4D3-4A86-9CCE-A58EFB67F769},-81.99031326770954,Residential,MLK Blvd - Kent St,14,0
04,33.45424587926106,{813DE25E-EDC0-4AD6-B991-3DDB787871BF},-81.98889381908329,Residential,MLK Blvd - Fuller St,15,0
04,33.45500271805828,{F1D6804C-C0A8-41F4-BD4E-1F06C2D17AA0},-81.98654810336636,Residential - Neighborhood Business - Smittys Lounge,MLK Blvd - Mill St,16,0
04,33.45571149609462,{8DF88F30-281C-41F7-A1E0-3A7ED245CF15},-81.98427463272259,Residential,MLK Blvd - Camille St,17,0
04,33.45625464376103,{AD9328D4-17BC-406E-9D38-769C1DD4DBF7},-81.98258678460186,Convenience Store - Residential - Neighborhood Business,MLK Blvd - 12th St,18,0
04,33.45709390205949,{E9F0E338-4105-42F4-892E-D6B87E9C34D9},-81.98005389891094,Residential,MLK Blvd - Picquet Ave,19,0
04,33.45768041308003,{BB4CDEC2-61C8-4468-ADF6-F84D63434472},-81.97846334638351,Residential,Twiggs St - David St,20,0
04,33.45872837408767,{76945EC4-7B99-4A20-B4A7-08578AE9C968},-81.97667744774324,Residential,Twiggs St - Ash St,21,0
04,33.45930542936095,{D4FF0191-9986-4A1C-B2B2-CC8CC3F952BC},-81.97557174582714,Residential,Twiggs St - Nicholas St,22,0
04,33.45946116985436,{B16CE700-831E-4703-A821-AD19F6118FE6},-81.97417149463817,Residential - Church,Twiggs St - Apartments,23,0
04,33.46007783329009,{80E366FC-40FC-4C56-93BB-3892FD737993},-81.97140243321195,MM Scott Public Housing - Residential,Twiggs St - MM Scott Pulic Housing,24,0
04,33.46166290967101,{561A6094-44C9-41A7-B2BF-97DD2CD42F6B},-81.9695960871103,MM Scott Public Housing - Residential,Twiggs St - Laney Walker Blvd,25,0
04,33.46363343387512,{9FFB0ED0-0CA0-4F7B-B76C-D3298BA546CF},-81.96887236199856,Residential - Warehouses,Twiggs St - Hopkins St,26,0
04,33.46880176525967,{D3A2E9F6-87A9-4AA6-AF56-4C9D96BB3EB3},-81.96618832269444,James Brown Arena - The Masters Table - Downtown,7th St - Fenwick St,28,0
04,33.47126783128091,{8AE272B2-D7F7-4695-83BD-087139AA1589},-81.96496309462022,Bell Auditorium - First Presbyterian Church - Downtown,7th St - Telfair St,29,0
04,33.47239528018605,{2C35D0EF-D20D-4074-A901-251600D7D67D},-81.9644197995964,Chamber of Commerce - Church - Downtown,7th St - Greene St,30,0
